sw_l1,sw_l2,sw_l3,组内排名,symbol,name,mktcap_yi,avg_amount_20d_yi,price,listing_date,is_st,已纳入
公用事业,电力,热力服务,82,002893.SZ,京能热力,26.6,1.8347,10.09,2017-09-15,0,False
农林牧渔,养殖业,生猪养殖,1,002714.SZ,牧原股份,2377.32,17.8621,41.18,2014-01-28,0,True
农林牧渔,养殖业,生猪养殖,2,300498.SZ,温氏股份,979.46,7.1984,14.72,2015-11-02,0,True
农林牧渔,养殖业,生猪养殖,3,002157.SZ,正邦科技,282.13,5.1942,3.0500000000000003,2007-08-17,0,True
农林牧渔,养殖业,肉鸡养殖,4,002299.SZ,圣农发展,201.83,1.9049,16.240000000000002,2009-10-21,0,True
农林牧渔,养殖业,生猪养殖,5,605296.SS,神农集团,173.87,1.26,33.04,2021-05-28,0,False
农林牧渔,养殖业,肉鸡养殖,6,300761.SZ,立华股份,172.4,1.7509,20.37,2019-02-18,0,True
农林牧渔,养殖业,肉鸡养殖,7,002458.SZ,益生股份,120.65,3.8071,8.43,2010-08-10,0,False
农林牧渔,养殖业,生猪养殖,8,000048.SZ,京基智农,104.13,3.2973,19.64,1994-11-01,0,False
农林牧渔,养殖业,生猪养殖,9,603477.SS,巨星农牧,76.67,1.8996,14.66,2017-12-18,0,False
农林牧渔,养殖业,生猪养殖,10,000735.SZ,罗 牛 山,66.67,6.1976,5.79,1997-06-11,0,False
农林牧渔,养殖业,生猪养殖,11,600975.SS,新五丰,64.86,1.8589,5.19,2004-06-09,0,False
农林牧渔,养殖业,肉鸡养殖,12,002746.SZ,仙坛股份,55.5,1.3494,6.45,2015-02-16,0,False
农林牧渔,养殖业,生猪养殖,13,002124.SZ,天邦食品,49.77,3.0279,2.24,2007-04-03,0,False
农林牧渔,养殖业,其他养殖,14,300313.SZ,天山生物,32.25,5.5307,13.45,2012-04-25,0,False
